name ,var_inter_sigma,var_inter_prob,var_inter_index,var_max,var_min,var_mean,var_sigma,kp_prob,ks_prob,var_prob,var_index,flux_aper_hilim,flux_aper_lolim,flux_aper,photflux_aper_hilim,photflux_aper_lolim,photflux_aper
7,9.466666666666667e-07,0.10733333333333334,0.0,,,,,,,,,1.816925e-15,0.0,0.0,9.013000000000001e-07,0.0,0.0
0,1.10686e-06,0.6306,3.8,0.0007985500000000001,0.0005259,0.0005454749999999999,4.2295e-05,0.3005,0.31,0.43875,0.25,7.2765e-15,4.13325e-15,5.705500000000001e-15,2.2527799999999997e-06,1.1580199999999999e-06,1.52594e-06
1,1.10686e-06,0.6306,3.8,,,,,,,,,1.747e-14,0.0,8.736e-15,2.1403999999999997e-05,8.188e-08,1.9954e-06
2,1.10686e-06,0.6306,3.8,0.0005947799999999999,0.00033145,0.00038676,6.9863e-05,0.4378,0.4354,0.5804,0.8,5.4204e-15,2.6528e-15,4.0622000000000004e-15,3.6349e-06,1.48798e-06,2.5663600000000003e-06
3,1.10686e-06,0.6306,3.8,0.0022933333333333334,0.0013858666666666667,0.0014952000000000001,0.00017964999999999998,0.37799999999999995,0.2796666666666667,0.4623333333333333,0.3333333333333333,2.3604999999999998e-14,9.174e-15,1.65965e-14,1.4709600000000002e-05,3.4135199999999997e-06,9.072599999999998e-06
4,1.10686e-06,0.6306,3.8,0.0017646200000000002,0.00034338,0.00087802,0.00037376400000000006,0.8304,0.7668,0.7402,3.2,6.179799999999999e-15,4.5178e-15,5.3514e-15,3.2051799999999997e-06,2.35952e-06,2.7833400000000004e-06
5,1.10686e-06,0.6306,3.8,0.00224054,0.00047634,0.00110184,0.0005720839999999999,0.9652000000000001,0.9062000000000001,0.766,3.8,7.5554e-15,5.6909999999999996e-15,6.625399999999999e-15,3.6797999999999995e-06,2.74562e-06,3.2181e-06
6,1.10686e-06,0.6306,3.8,0.0016841599999999999,0.0003318,0.0007921599999999999,0.000357798,0.5466,0.5576000000000001,0.6926,3.0,5.421200000000001e-15,3.8352000000000005e-15,4.649e-15,2.8694e-06,2.0704200000000002e-06,2.4807200000000004e-06
7,1.10686e-06,0.6306,3.8,0.00132952,0.0006517500000000001,0.0007063200000000001,0.000101544,0.8368,0.6586000000000001,0.5984,1.6,4.6798e-15,3.2306000000000005e-15,3.9714e-15,2.4519800000000003e-06,1.7348599999999999e-06,2.10046e-06
8,1.10686e-06,0.6306,3.8,0.0014306,0.0010221499999999999,0.0010755,8.8275e-05,0.196,0.2155,0.41900000000000004,0.0,5.222400000000001e-15,1.1897e-15,3.2059999999999996e-15,3.7024000000000003e-06,8.143499999999999e-07,2.27868e-06
9,1.10686e-06,0.6306,3.8,0.005308,0.002645,0.003768,0.0006888,0.607,0.602,0.382,0.0,1.222375e-14,2.9924999999999996e-15,7.640500000000001e-15,8.0994e-06,1.7782800000000003e-06,4.8071999999999995e-06
10,1.10686e-06,0.6306,3.8,0.0031503333333333335,0.001072,0.0014304,0.0004533333333333333,0.8816666666666667,0.718,0.6763333333333333,1.3333333333333333,1.1552199999999999e-14,4.3396000000000005e-15,7.968199999999999e-15,5.538e-06,1.9745999999999997e-06,3.7562000000000006e-06
11,1.10686e-06,0.6306,3.8,0.0021855,0.00111065,0.0013285,0.00026040000000000004,0.7615,0.8734999999999999,0.54,1.0,5.792499999999999e-15,1.511825e-15,3.0967500000000005e-15,3.8248e-06,1.0292800000000001e-06,2.4484400000000004e-06
0,2.59425e-07,0.0535,0.0,,,,,,,,,1.178375e-15,2.2292e-16,6.8095000000000005e-16,1.98152e-07,2.4242000000000003e-08,8.8764e-08
1,2.59425e-07,0.0535,0.0,,,,,,,,,3.618e-16,5.3907249999999993e-17,1.8145000000000002e-16,2.94002e-07,3.748e-08,1.61796e-07
2,2.59425e-07,0.0535,0.0,,,,,,,,,2.4925e-16,2.58775e-17,1.1826000000000002e-16,2.4733800000000004e-07,2.3402e-08,1.31232e-07
3,2.59425e-07,0.0535,0.0,,,,,,,,,5.35475e-16,1.683e-16,3.16425e-16,4.3219e-07,1.4388e-07,2.7852e-07
4,2.59425e-07,0.0535,0.0,,,,,,,,,6.653333333333332e-15,0.0,0.0,1.5449599999999998e-06,0.0,0.0
5,2.59425e-07,0.0535,0.0,,,,,,,,,,,,2.2594e-06,0.0,0.0
6,2.59425e-07,0.0535,0.0,,,,,,,,,,,,7.8064e-07,0.0,0.0
7,2.59425e-07,0.0535,0.0,,,,,,,,,9.6515e-16,0.0,0.0,9.8876e-07,0.0,0.0
0,2.3292e-06,0.8390000000000001,5.6,0.003361666666666667,0.002538333333333333,0.002716333333333333,0.00019506666666666665,0.4496666666666667,0.5133333333333333,0.327,0.0,2.6520000000000003e-14,1.201925e-14,1.94425e-14,1.0847399999999999e-05,4.10054e-06,6.25e-06
1,2.3292e-06,0.8390000000000001,5.6,0.0030575,0.0022040000000000002,0.0022919999999999998,0.0001460225,0.57125,0.7037499999999999,0.38449999999999995,0.5,2.3994e-14,1.7400200000000002e-14,2.0718e-14,8.7058e-06,5.8858000000000005e-06,7.3136e-06
2,2.3292e-06,0.8390000000000001,5.6,,,,,,,,,2.5996666666666667e-14,4.361966666666667e-15,1.5229000000000002e-14,2.21854e-05,1.5821999999999999e-06,5.403000000000001e-06
3,2.3292e-06,0.8390000000000001,5.6,0.00312175,0.0020397999999999996,0.0021975,0.0001887475,0.5255,0.47475,0.38875,0.5,1.82494e-14,1.3580074e-14,1.5913600000000004e-14,7.615800000000001e-06,5.29012e-06,6.454200000000001e-06
4,2.3292e-06,0.8390000000000001,5.6,0.0033245,0.00239775,0.0025485,0.000198825,0.33525,0.31525000000000003,0.35675,0.25,3.394375e-14,1.8403e-14,2.635575e-14,1.11996e-05,5.028199999999999e-06,7.1108e-06
5,2.3292e-06,0.8390000000000001,5.6,0.0016712,0.0014110799999999999,0.0014340399999999997,4.174e-05,0.38,0.5922,0.24619999999999997,0.0,1.16282e-14,9.211400000000001e-15,1.04254e-14,4.5116e-06,3.5308e-06,4.0282e-06
